PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other 
E14001093,Birmingham Erdington,West Midlands,22.72,56.32,4.21,5.56,9.07,0,0,2.12,18.01,47.47,1.66,1.98,4.46,0,0,0.52,28.19,64.61,8.60,11.35,15.53,0,0,5.30 
E14001094,Birmingham Hall Green and Moseley,West Midlands,8.93,55.85,3.85,10.15,13.67,0,0,7.55,5.97,42.65,1.01,3.01,6.45,0,0,2.20,12.45,67.73,9.38,22.92,23.69,0,0,16.61 
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,18.50,51.31,7.08,5.09,13.56,0,0,4.46,13.52,39.56,2.38,1.22,6.31,0,0,1.06,24.52,62.67,15.09,12.36,23.78,0,0,10.55 
E14001096,Birmingham Ladywood,West Midlands,10.25,59.15,6.11,9.80,7.63,0,0,7.06,7.17,46.15,2.06,2.58,3.36,0,0,1.95,14.03,71.07,12.90,21.72,14.55,0,0,15.15 
E14001097,Birmingham Northfield,West Midlands,22.77,46.07,5.14,7.09,17.34,0,0,1.59,16.77,35.89,1.84,1.99,8.55,0,0,0.33,29.62,56.60,11.18,15.43,28.26,0,0,4.50 
E14001098,Birmingham Perry Barr,West Midlands,16.04,55.79,4.42,3.90,14.21,0,0,5.65,11.72,45.18,1.72,1.12,8.01,0,0,1.85,21.37,65.39,9.11,8.96,22.65,0,0,12.33 
E14001099,Birmingham Selly Oak,West Midlands,18.29,54.91,4.69,12.16,7.14,0,0,2.81,13.82,42.36,1.31,3.85,2.98,0,0,0.71,23.59,65.81,11.04,25.94,13.32,0,0,7.40 
E14001100,Birmingham Yardley,West Midlands,15.24,44.64,6.25,9.53,18.35,0,0,5.98,10.51,32.20,1.85,2.94,8.91,0,0,1.60,21.07,56.89,13.72,21.85,30.59,0,0,14.46 
E14001101,Bishop Auckland,North East,25.30,46.35,4.38,6.48,16.24,0,0,1.25,19.53,36.11,1.28,1.37,8.07,0,0,0.24,31.94,57.11,9.96,15.62,27.20,0,0,3.57 
E14001102,Blackburn,North West,17.14,60.81,1.86,5.01,11.37,0,0,3.81,12.50,50.45,0.50,0.99,5.93,0,0,0.88,22.16,70.01,4.50,13.41,18.42,0,0,9.28 
E14001103,Blackley and Middleton South,North West,16.67,61.01,4.20,5.43,12.70,0,0,0,12.06,49.78,1.18,1.16,5.75,0,0,0,21.75,71.18,9.54,14.05,22.90,0,0,0 
