PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001063,Aldershot,South East,32.74707305,34.46065629,12.21050225,3.833652593,15.19474736,0,0,1.553368464,27.58518954,24.87698359,6.580664198,0.6518010079,7.860445598,0,0,0.1960703437,39.60105524,42.52840481,18.16556697,11.66488208,23.77354047,0,0,4.244204607
E14001064,Aldridge-Brownhills,West Midlands,35.541091,42.02368297,6.321977486,1.888087201,14.22516134,0,0,0,26.76367727,29.48033771,1.92750925,0.2107256391,8.135956824,0,0,0,43.54376533,55.50313321,13.12221193,4.842415531,22.32612157,0,0,0
E14001065,Altrincham and Sale West,North West,30.37337465,45.41625478,13.61136165,1.404830849,7.319900864,0,0,1.874277212,26.86810524,39.40530657,6.632807041,0.5395097164,4.067682629,0,0,0.363750564,33.55349826,53.64809042,23.29814851,3.420895335,12.83807175,0,0,6.060359447
E14001066,Amber Valley,East Midlands,31.98970747,45.85636486,4.546079943,2.924094769,14.68375296,0,0,0,24.4825933,39.05734572,2.251607904,0.5897403205,6.415900338,0,0,0,42.12714489,54.21160051,7.425463405,6.815216169,21.94537337,0,0,0
E14001067,Arundel and South Downs,South East,32.42954068,27.05097127,14.52119619,15.02792901,9.406043059,0,0,1.564319795,23.99040359,18.5174093,7.043606582,6.257747552,4.834038909,0,0,0.4289063582,42.10901678,39.12145608,22.51057779,26.31418657,16.11658812,0,0,4.087586268
E14001068,Ashfield,East Midlands,15.66040365,29.17240767,5.20300934,3.174050829,25.9811651,0,0,20.80896341,10.61602624,20.06273568,2.094930407,0.8843774248,15.673552,0,0,10.9624862,23.43439383,41.89978332,11.18937972,7.77470773,38.24949962,0,0,35.65000667
E14001069,Ashford,South East,30.78558457,35.46103508,7.921916069,9.493792324,13.44177642,0,0,2.895895532,24.19586604,28.32248187,2.370227832,4.599885723,5.80160587,0,0,0.4251476319,37.59886385,42.76030386,16.08376576,15.24292734,20.82029664,0,0,7.009491573
E14001070,Ashton-under-Lyne,North West,16.73389342,54.414463,2.828067057,4.244911052,16.16114489,0,0,5.617520579,13.03064503,46.33723097,0.9618248637,1.596951598,10.33433396,0,0,1.819294877,21.0260473,62.85232823,5.97588694,9.333791997,25.28153401,0,0,11.81219023
E14001071,Aylesbury,South East,29.6014353,32.44583736,23.72187093,2.27831424,10.20880935,0,0,1.743732817,24.45300174,24.92519442,15.30446768,0.4245170763,5.916816995,0,0,0.3541384655,34.09747805,41.26757813,34.88107536,7.917000863,18.94998175,0,0,4.049548021
E14001072,Banbury,South East,31.36109697,33.03588543,15.99087761,10.09303256,8.293072763,0,0,1.226034676,26.00211502,26.97855639,11.03591715,3.181858465,4.32184942,0,0,0.3357418776,36.32150951,39.88310003,26.85113989,17.40094635,14.34304767,0,0,3.556675466
