PCON24CD,Seat,Region, mean_Con, mean_Lab, mean_LDem, mean_Green, mean_Reform, mean_Plaid, mean_SNP, mean_Other, lo_Con, lo_Lab, lo_LDem, lo_Green, lo_Reform, lo_Plaid, lo_SNP, lo_Other, hi_Con, hi_Lab, hi_LDem, hi_Green, hi_Reform, hi_Plaid, hi_SNP, hi_Other
E14001493,South Shropshire,West Midlands,28.32928348,  23.22 ,  23.28 ,  4.51 ,  20.65 ,  -   ,  -   ,  -   ,  20.20 ,  15.73 ,  12.20 ,  0.63 ,  11.66 ,  -   ,  -   ,  -   ,  36.61 ,  31.23 ,  37.36 ,  13.00 ,  32.54 ,  -   ,  -   ,  -   
E14001494,South Suffolk,East of England,26.13912732,  28.68 ,  10.38 ,  8.21 ,  26.59 ,  -   ,  -   ,  -   ,  18.60 ,  20.11 ,  3.77 ,  2.27 ,  15.79 ,  -   ,  -   ,  -   ,  34.16 ,  38.39 ,  19.89 ,  17.96 ,  41.57 ,  -   ,  -   ,  -   
E14001495,South West Devon,South West,24.79463206,  33.32 ,  9.14 ,  2.44 ,  29.47 ,  -   ,  -   ,  0.84 ,  18.49 ,  24.46 ,  3.04 ,  0.37 ,  18.37 ,  -   ,  -   ,  0.15 ,  31.56 ,  42.83 ,  18.60 ,  7.76 ,  41.92 ,  -   ,  -   ,  2.41 
E14001496,South West Hertfordshire,East of England,29.9805737,  29.52 ,  7.99 ,  5.14 ,  25.12 ,  -   ,  -   ,  2.24 ,  23.54 ,  21.14 ,  2.62 ,  0.94 ,  15.23 ,  -   ,  -   ,  0.41 ,  37.10 ,  38.46 ,  15.43 ,  13.78 ,  36.47 ,  -   ,  -   ,  7.16 
E14001497,South West Norfolk,East of England,28.15230588,  32.91 ,  6.42 ,  6.27 ,  17.23 ,  -   ,  -   ,  9.01 ,  21.84 ,  24.90 ,  2.32 ,  1.76 ,  9.42 ,  -   ,  -   ,  2.95 ,  34.54 ,  41.69 ,  13.28 ,  13.43 ,  27.56 ,  -   ,  -   ,  19.80 
E14001498,South West Wiltshire,South West,26.24553812,  30.72 ,  14.85 ,  3.95 ,  22.73 ,  -   ,  -   ,  1.49 ,  19.69 ,  22.21 ,  6.22 ,  0.83 ,  13.00 ,  -   ,  -   ,  0.27 ,  33.91 ,  39.31 ,  26.36 ,  10.35 ,  34.14 ,  -   ,  -   ,  4.42 
E14001499,Southampton Itchen,South East,26.99686751,  50.05 ,  3.31 ,  3.98 ,  12.29 ,  -   ,  -   ,  3.38 ,  21.66 ,  40.93 ,  0.90 ,  0.92 ,  5.48 ,  -   ,  -   ,  0.95 ,  32.51 ,  58.20 ,  8.02 ,  9.95 ,  21.79 ,  -   ,  -   ,  8.48 
E14001500,Southampton Test,South East,20.43232534,  53.47 ,  7.31 ,  3.92 ,  12.40 ,  -   ,  -   ,  2.46 ,  15.84 ,  43.32 ,  2.34 ,  0.96 ,  6.70 ,  -   ,  -   ,  0.46 ,  25.80 ,  62.00 ,  14.69 ,  9.53 ,  20.12 ,  -   ,  -   ,  7.19 
E14001501,Southend East and Rochford,East of England,29.93501188,  43.55 ,  3.92 ,  0.79 ,  18.29 ,  -   ,  -   ,  3.51 ,  23.07 ,  35.41 ,  1.15 ,  0.10 ,  9.58 ,  -   ,  -   ,  0.91 ,  36.52 ,  51.62 ,  8.36 ,  2.64 ,  28.98 ,  -   ,  -   ,  8.67 
E14001502,Southend West and Leigh,East of England,28.55039199,  36.44 ,  7.28 ,  7.31 ,  17.67 ,  -   ,  -   ,  2.76 ,  22.38 ,  27.63 ,  2.38 ,  1.86 ,  9.12 ,  -   ,  -   ,  0.51 ,  34.65 ,  44.50 ,  15.00 ,  16.44 ,  29.31 ,  -   ,  -   ,  7.57 
E14001503,Southgate and Wood Green,London,18.33215793,  48.65 ,  14.04 ,  5.26 ,  8.99 ,  -   ,  -   ,  4.73 ,  14.14 ,  38.01 ,  6.07 ,  1.31 ,  4.33 ,  -   ,  -   ,  1.25 ,  22.24 ,  58.49 ,  25.41 ,  12.32 ,  16.44 ,  -   ,  -   ,  11.36 
E14001504,Southport,North West,23.2143079,  46.44 ,  11.46 ,  2.86 ,  13.69 ,  -   ,  -   ,  2.33 ,  18.38 ,  37.05 ,  4.70 ,  0.50 ,  7.38 ,  -   ,  -   ,  0.51 ,  28.99 ,  55.72 ,  21.17 ,  8.47 ,  22.04 ,  -   ,  -   ,  6.41 
E14001505,Spelthorne,South East,27.9989333,  31.91 ,  21.67 ,  5.33 ,  11.57 ,  -   ,  -   ,  1.52 ,  21.01 ,  23.31 ,  10.65 ,  1.00 ,  5.41 ,  -   ,  -   ,  0.30 ,  34.93 ,  41.43 ,  35.22 ,  14.17 ,  19.32 ,  -   ,  -   ,  4.29 
E14001506,Spen Valley,Yorkshire and The Humber,19.19002921,  50.90 ,  2.79 ,  5.48 ,  19.99 ,  -   ,  -   ,  1.65 ,  14.75 ,  41.27 ,  0.62 ,  1.17 ,  11.52 ,  -   ,  -   ,  0.28 ,  23.70 ,  59.78 ,  7.77 ,  14.77 ,  30.29 ,  -   ,  -   ,  4.77 
E14001507,St Albans,East of England,19.0635513,  11.00 ,  55.25 ,  5.23 ,  8.08 ,  -   ,  -   ,  1.38 ,  12.69 ,  6.04 ,  39.56 ,  1.38 ,  3.45 ,  -   ,  -   ,  0.24 ,  26.91 ,  18.91 ,  67.40 ,  11.70 ,  15.06 ,  -   ,  -   ,  4.27 
E14001508,St Austell and Newquay,South West,23.63936886,  39.61 ,  10.56 ,  4.97 ,  18.29 ,  -   ,  -   ,  2.93 ,  18.10 ,  29.68 ,  3.45 ,  1.02 ,  10.46 ,  -   ,  -   ,  0.64 ,  29.19 ,  49.92 ,  21.23 ,  12.64 ,  28.95 ,  -   ,  -   ,  7.94 
E14001509,St Helens North,North West,9.692129873,  57.06 ,  5.81 ,  7.97 ,  14.91 ,  -   ,  -   ,  4.56 ,  6.95 ,  44.07 ,  1.65 ,  1.46 ,  7.53 ,  -   ,  -   ,  0.86 ,  12.83 ,  68.74 ,  13.47 ,  19.90 ,  24.30 ,  -   ,  -   ,  12.44 
E14001510,St Helens South and Whiston,North West,7.267360671,  60.97 ,  5.97 ,  9.34 ,  13.64 ,  -   ,  -   ,  2.80 ,  5.06 ,  49.96 ,  2.07 ,  2.64 ,  6.81 ,  -   ,  -   ,  0.57 ,  9.68 ,  71.20 ,  12.77 ,  20.36 ,  22.40 ,  -   ,  -   ,  7.35 
E14001511,St Ives,South West,20.50248033,  15.75 ,  38.53 ,  4.77 ,  17.95 ,  -   ,  -   ,  2.51 ,  14.07 ,  9.21 ,  22.75 ,  0.59 ,  9.27 ,  -   ,  -   ,  0.35 ,  28.08 ,  24.39 ,  54.23 ,  12.83 ,  28.73 ,  -   ,  -   ,  7.38 
E14001512,St Neots and Mid Cambridgeshire,East of England,24.66289069,  26.59 ,  31.90 ,  5.51 ,  9.88 ,  -   ,  -   ,  1.45 ,  18.02 ,  17.05 ,  17.76 ,  1.00 ,  4.83 ,  -   ,  -   ,  0.29 ,  31.61 ,  36.64 ,  46.73 ,  15.68 ,  17.63 ,  -   ,  -   ,  4.70 
E14001513,Stafford,West Midlands,28.22180906,  44.04 ,  3.19 ,  5.63 ,  17.46 ,  -   ,  -   ,  1.46 ,  22.38 ,  35.04 ,  0.66 ,  1.27 ,  9.25 ,  -   ,  -   ,  0.24 ,  34.14 ,  53.39 ,  8.39 ,  13.49 ,  28.75 ,  -   ,  -   ,  4.69 
E14001514,Staffordshire Moorlands,West Midlands,32.63020682,  41.20 ,  2.68 ,  3.22 ,  20.27 ,  -   ,  -   ,  -   ,  24.55 ,  30.58 ,  0.54 ,  0.47 ,  9.83 ,  -   ,  -   ,  -   ,  41.27 ,  51.67 ,  7.63 ,  9.73 ,  33.49 ,  -   ,  -   ,  -   
