Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,Conv,Labv,LDv,Grnv,Brxv,SNPv,PCv,APNIv,DUPv,SDLPv,SFv,UUPv,TotOthv,MaxOthv,ADVv,AGSv,ANWPv,AONTv,ASHv,BNPv,BPIv,BSJPv,CFv,CHPv,CMEPv,CMUv,CMUKv,COMLv,CPv,CPAv,CVPv,EDv,GWLDv,HWDIv,INETv,JACv,LBTv,LIBv,LNINv,LUTNv,MKv,MRLPv,MTHRv,NEPv,PATRv,PBPv,PFPv,POSv,PPNVv,RBDv,RENv,SDPv,SEPv,SFPv,SHRPv,SLPv,SNAVv,SOCv,TCRPv,TIGv,TLWv,UGPv,UKIPv,VPPv,WEPv,WRPv,WYv,YESHv,YPPv,YRKSv,IND1v,IND2v,IND3v,IND4v,IND5v,IND6v,blank2,total_votes,majority,maj%,Win19,Second19,CON%,LAB%,LD%,GRN%,BRX%,SNP%,PC%,APNI%,DUP%,SDLP%,SF%,UUP%,Tot oths%,Max oths%
Alyn and Deeside,Alyn & Deeside,W07000082,11,WA,Wales,County,20.1,69.2,75695,21963,22374,3095,0,3137,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52350,411,0.79,Lab,Con,41.95,42.74,5.91,0.00,5.99,0.00,3.40,,,,,,0.00,0.00
Amber Valley,Amber Valley,E14001066,12,EM,England,County,0.1,64.6,70625,29118,12227,2875,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45609,16891,37.03,Con,Lab,63.84,26.81,6.30,3.05,0.00,0.00,0.00,,,,,,0.00,0.00
Angus and Perthshire Glens,Angus & Perthshire Glens,S14000065,13,SC,Scotland,County,91.6,73.4,77006,22504,2402,2803,0,329,28509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56547,6005,10.62,SNP,Con,39.80,4.25,4.96,0.00,0.58,50.42,0.00,,,,,,0.00,0.00
East Antrim,Antrim East,N05000005,14,NI,Northern Ireland,County,13.7,57.4,69936,1007,,,685,,,,10423,16818,1432,3120,6671,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40156,6395,15.93,DUP,All,2.51,,,1.71,,,,25.96,41.88,3.57,7.77,16.61,0.00,0.00
North Antrim,Antrim North,N05000012,15,NI,Northern Ireland,County,11.4,57.1,71165,17,,,,,,,5811,20650,2404,4609,6885,246,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,40622,13765,33.89,DUP,UUP,0.04,,,0.00,,,,14.31,50.83,5.92,11.35,16.95,0.61,0.61
South Antrim,Antrim South,N05000014,16,NI,Northern Ireland,County,5.7,59.6,71646,18,,,,,,,7837,15432,2113,4858,12396,14,11,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42668,3036,7.12,DUP,UUP,0.04,,,0.00,,,,18.37,36.17,4.95,11.39,29.05,0.03,0.03
Arbroath and Broughty Ferry,Arbroath & Broughty Ferry,S14000066,17,SC,Scotland,County,56.8,67.9,76810,15773,5321,4168,0,0,26550,0,0,0,0,0,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,,52124,10777,20.68,SNP,Con,30.26,10.21,8.00,0.00,0.00,50.94,0.00,,,,,,0.60,0.60
"Argyll, Bute and South Lochaber","Argyll, Bute & South Lochaber",S14000067,18,SC,Scotland,County,6.1,70.7,71707,17506,3592,7172,0,54,22403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50727,4897,9.65,SNP,Con,34.51,7.08,14.14,0.00,0.11,44.16,0.00,,,,,,0.00,0.00
Arundel and South Downs,Arundel & South Downs,E14001067,19,SE,England,County,57.8,75.5,76974,35117,9108,11012,2312,0,0,0,0,0,0,0,0,556,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,,58105,24105,41.49,Con,LD,60.44,15.68,18.95,3.98,0.00,0.00,0.00,,,,,,0.96,0.96
Ashfield,Ashfield,E14001068,20,EM,England,County,18.0,61.5,69819,16838,10986,890,563,2137,0,0,0,0,0,0,0,11535,11535,0,0,0,0,11535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42949,5303,12.35,Con,Other,39.20,25.58,2.07,1.31,4.98,0.00,0.00,,,,,,26.86,26.86
Ashford,Ashford,E14001069,21,SE,England,County,54.7,66.1,73546,28759,11548,5176,2234,0,0,0,0,0,0,0,0,862,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,,48579,17211,35.43,Con,Lab,59.20,23.77,10.65,4.60,0.00,0.00,0.00,,,,,,1.77,1.77
Ashton-under-Lyne,Ashton-under-Lyne,E14001070,22,NW,England,Borough,50.9,57.2,72278,14978,19667,1774,1440,3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41377,4689,11.33,Lab,Con,36.20,47.53,4.29,3.48,8.50,0.00,0.00,,,,,,0.00,0.00
Aylesbury,Aylesbury,E14001071,23,SE,England,County,54.3,76.5,75636,29924,13284,12670,1701,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57888,16640,28.75,Con,Lab,51.69,22.95,21.89,2.94,0.53,0.00,0.00,,,,,,0.00,0.00
"Ayr, Carrick and Cumnock","Ayr, Carrick & Cumnock",S14000006,24,SC,Scotland,County,none,64.7,72057,17943,6219,2158,0,0,20272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46592,2329,5.00,SNP,Con,38.51,13.35,4.63,0.00,0.00,43.51,0.00,,,,,,0.00,0.00
Central Ayrshire,Ayrshire Central,S14000010,25,SC,Scotland,County,none,66.7,69779,16182,6583,2283,0,0,21486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46534,5304,11.40,SNP,Con,34.77,14.15,4.91,0.00,0.00,46.17,0.00,,,,,,0.00,0.00
North Ayrshire and Arran,Ayrshire North & Arran,S14000048,26,SC,Scotland,County,none,65.4,73588,14855,6702,2107,1114,0,23376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48154,8521,17.70,SNP,Con,30.85,13.92,4.38,2.31,0.00,48.54,0.00,,,,,,0.00,0.00
