Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,Conv,Labv,LDv,Grnv,Brxv,SNPv,PCv,APNIv,DUPv,SDLPv,SFv,UUPv,TotOthv,MaxOthv,ADVv,AGSv,ANWPv,AONTv,ASHv,BNPv,BPIv,BSJPv,CFv,CHPv,CMEPv,CMUv,CMUKv,COMLv,CPv,CPAv,CVPv,EDv,GWLDv,HWDIv,INETv,JACv,LBTv,LIBv,LNINv,LUTNv,MKv,MRLPv,MTHRv,NEPv,PATRv,PBPv,PFPv,POSv,PPNVv,RBDv,RENv,SDPv,SEPv,SFPv,SHRPv,SLPv,SNAVv,SOCv,TCRPv,TIGv,TLWv,UGPv,UKIPv,VPPv,WEPv,WRPv,WYv,YESHv,YPPv,YRKSv,IND1v,IND2v,IND3v,IND4v,IND5v,IND6v,blank2,total_votes,majority,maj%,Win19,Second19,CON%,LAB%,LD%,GRN%,BRX%,SNP%,PC%,APNI%,DUP%,SDLP%,SF%,UUP%,Tot oths%,Max oths%
Chelmsford,Chelmsford,E14001159,137,EE,England,Borough,5.4,70.4,76454,29447,9768,14031,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53826,15416,28.64,Con,LD,54.71,18.15,26.07,0.00,0.00,0.00,0.00,,,,,,1.08,1.08
Chelsea and Fulham,Chelsea & Fulham,E14001160,138,GL,England,Borough,26.7,71.6,76481,24909,15916,13053,228,175,0,0,0,0,0,0,0,500,500,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54781,8993,16.42,Con,Lab,45.47,29.05,23.83,0.42,0.32,0.00,0.00,,,,,,0.91,0.91
Cheltenham,Cheltenham,E14001161,139,SW,England,Borough,5.9,75.5,75292,27563,2733,26142,0,0,0,0,0,0,0,0,0,445,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56883,1421,2.50,Con,LD,48.46,4.80,45.96,0.00,0.00,0.00,0.00,,,,,,0.78,0.78
Chesham and Amersham,Chesham & Amersham,E14001162,140,SE,England,County,36.0,72.4,74155,30264,7473,12048,2600,0,0,0,0,0,0,0,0,1326,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,0,0,0,0,,53711,18216,33.91,Con,LD,56.35,13.91,22.43,4.84,0.00,0.00,0.00,,,,,,2.47,2.47
Mid Cheshire,Cheshire Mid,E14001361,141,NW,England,County,116.0,67.2,69775,22022,19528,3934,921,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46907,2494,5.32,Con,Lab,46.95,41.63,8.39,1.96,1.07,0.00,0.00,,,,,,0.00,0.00
Chester North and Neston,Chester North & Neston,E14001163,142,NW,England,County,48.7,74.6,72327,20746,27137,3337,1202,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53924,6391,11.85,Lab,Con,38.47,50.32,6.19,2.23,2.79,0.00,0.00,,,,,,0.00,0.00
Chester South and Eddisbury,Chester South & Eddisbury,E14001164,143,NW,England,County,83.6,76.7,71975,32703,11877,8446,1163,569,0,0,0,0,0,0,0,451,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,,55209,20826,37.72,Con,Lab,59.23,21.51,15.30,2.11,1.03,0.00,0.00,,,,,,0.82,0.82
Chesterfield,Chesterfield,E14001165,144,EM,England,Borough,none,63.9,70722,16720,18171,3985,1148,4771,0,0,0,0,0,0,0,391,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,,45186,1451,3.21,Lab,Con,37.00,40.21,8.82,2.54,10.56,0.00,0.00,,,,,,0.87,0.87
Chichester,Chichester,E14001166,145,SE,England,County,38.2,66.5,76765,29981,7850,10359,2499,0,0,0,0,0,0,0,0,333,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,224,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51022,19622,38.46,Con,LD,58.76,15.39,20.30,4.90,0.00,0.00,0.00,,,,,,0.65,0.44
Chingford and Woodford Green,Chingford & Woodford Green,E14001167,146,GL,England,Borough,22.3,72.2,75677,26322,24718,3193,213,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54606,1604,2.94,Con,Lab,48.20,45.27,5.85,0.39,0.29,0.00,0.00,,,,,,0.00,0.00
Chippenham,Chippenham,E14001168,147,SW,England,County,96.0,70.5,71648,28485,5896,15285,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50519,13200,26.13,Con,LD,56.38,11.67,30.26,1.69,0.00,0.00,0.00,,,,,,0.00,0.00
Chipping Barnet,Chipping Barnet,E14001169,148,GL,England,Borough,43.3,76.7,76187,27777,23568,5745,1261,0,0,0,0,0,0,0,0,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58422,4209,7.20,Con,Lab,47.55,40.34,9.83,2.16,0.00,0.00,0.00,,,,,,0.12,0.12
Chorley,Chorley,E14001170,149,NW,England,County,4.4,53.5,74568,0,0,0,3600,0,0,0,0,0,0,0,0,36270,26831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9439,0,0,0,0,0,,39870,17392,43.62,Spkr,Other,0.00,0.00,0.00,9.03,0.00,0.00,0.00,,,,,,90.97,67.30
Christchurch,Christchurch,E14001171,150,SW,England,County,3.0,72.5,71598,34037,6676,9003,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51890,25034,48.24,Con,LD,65.59,12.87,17.35,4.19,0.00,0.00,0.00,,,,,,0.00,0.00
Cities of London and Westminster,Cities of London & Westminster,E14001172,151,GL,England,Borough,32.6,71.3,73140,21020,15044,14713,1010,103,0,0,0,0,0,0,0,226,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52116,5976,11.47,Con,Lab,40.33,28.87,28.23,1.94,0.20,0.00,0.00,,,,,,0.43,0.24
Clacton,Clacton,E14001174,152,EE,England,County,7.9,60.1,75959,32825,7108,2829,1341,0,0,0,0,0,0,0,0,1566,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1099,0,0,0,0,,45669,25717,56.31,Con,Lab,71.88,15.56,6.19,2.94,0.00,0.00,0.00,,,,,,3.43,2.41
Clapham and Brixton Hill,Clapham & Brixton Hill,E14001175,153,GL,England,Borough,91.6,64.4,75460,9481,26924,9633,2045,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"48,632","17,291",35.55,Lab,LD,19.50,55.36,19.81,4.21,1.13,0.00,0.00,,,,,,0.00,0.00
Clwyd East,Clwyd East,W07000094,154,WA,Wales,County,85.9,69.1,76395,25324,20040,2823,0,2173,0,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52820,5284,10.00,Con,Lab,47.94,37.94,5.34,0.00,4.11,0.00,4.66,,,,,,0.00,0.00
Clwyd North,Clwyd North,W07000095,155,WA,Wales,County,92.2,67.4,76150,23479,20645,2501,0,951,0,3713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51289,2834,5.53,Con,Lab,45.78,40.25,4.88,0.00,1.85,0.00,7.24,,,,,,0.00,0.00
Coatbridge and Bellshill,Coatbridge & Bellshill,S14000070,156,SC,Scotland,Borough,26.4,63.3,72507,5444,16646,1375,701,0,21730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45896,5084,11.08,SNP,Lab,11.86,36.27,3.00,1.53,0.00,47.35,0.00,,,,,,0.00,0.00
Colchester,Colchester,E14001176,157,EE,England,Borough,8.8,63.9,76843,25693,14753,7209,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49091,10940,22.29,Con,Lab,52.34,30.05,14.68,2.93,0.00,0.00,0.00,,,,,,0.00,0.00
Colne Valley,Colne Valley,E14001177,158,YH,England,County,15.6,72.4,71518,26517,18756,3630,893,1089,0,0,0,0,0,0,0,880,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,548,0,102,0,0,0,0,,51765,7761,14.99,Con,Lab,51.23,36.23,7.01,1.73,2.10,0.00,0.00,,,,,,1.70,1.06
Congleton,Congleton,E14001178,159,NW,England,County,14.1,71.3,69836,30207,12004,5521,1423,0,0,0,0,0,0,0,0,658,658,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49813,18203,36.54,Con,Lab,60.64,24.10,11.08,2.86,0.00,0.00,0.00,,,,,,1.32,1.32
Corby and East Northamptonshire,Corby & East Northamptonshire,E14001179,160,EM,England,County,10.7,70.2,76748,29443,20767,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53890,8676,16.10,Con,Lab,54.64,38.54,6.83,0.00,0.00,0.00,0.00,,,,,,0.00,0.00
North Cornwall,Cornwall North,E14001385,161,SW,England,County,6.7,72.1,75034,31941,5201,16158,101,0,0,0,0,0,0,0,0,676,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,572,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54077,15783,29.19,Con,LD,59.07,9.62,29.88,0.19,0.00,0.00,0.00,,,,,,1.25,1.06
South East Cornwall,Cornwall South East,E14001486,162,SW,England,County,0.7,72.8,71734,30839,10614,8520,1405,0,0,0,0,0,0,0,0,869,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52247,20225,38.71,Con,Lab,59.03,20.32,16.31,2.69,0.00,0.00,0.00,,,,,,1.66,1.66
North Cotswolds,Cotswolds North,E14001386,163,SW,England,County,97.7,71.6,70915,30140,8391,9143,2944,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"50,793","20,997",41.34,Con,LD,59.34,16.52,18.00,5.80,0.34,0.00,0.00,,,,,,0.00,0.00
South Cotswolds,Cotswolds South,E14001482,164,SW,England,County,90.4,73.0,72865,30798,5669,14706,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53189,16092,30.25,Con,LD,57.90,10.66,27.65,3.79,0.00,0.00,0.00,,,,,,0.00,0.00
Coventry East,Coventry East,E14001180,165,WM,England,Borough,34.5,58.2,73389,14950,22238,2307,995,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42684,7288,17.07,Lab,Con,35.02,52.10,5.40,2.33,5.14,0.00,0.00,,,,,,0.00,0.00
Coventry North West,Coventry North West,E14001181,166,WM,England,Borough,none,65.0,73431,20710,20918,2717,1443,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47744,208,0.44,Lab,Con,43.38,43.81,5.69,3.02,4.10,0.00,0.00,,,,,,0.00,0.00
Coventry South,Coventry South,E14001182,167,WM,England,Borough,37.6,65.9,70998,19912,20720,3152,1238,1348,0,0,0,0,0,0,0,435,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,,"46,805",808,1.73,Lab,Con,42.54,44.27,6.73,2.65,2.88,0.00,0.00,,,,,,0.93,0.93
Cowdenbeath and Kirkcaldy,Cowdenbeath & Kirkcaldy,S14000071,168,SC,Scotland,County,36.1,67.0,70329,10482,13902,3048,1655,939,17122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47148,3220,6.83,SNP,Lab,22.23,29.49,6.46,3.51,1.99,36.32,0.00,,,,,,0.00,0.00
Cramlington and Killingworth,Cramlington & Killingworth,E14001183,169,NE,England,County,102.8,65.6,73295,19174,21331,2520,1192,3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48072,2157,4.49,Lab,Con,39.89,44.37,5.24,2.48,8.02,0.00,0.00,,,,,,0.00,0.00
Crawley,Crawley,E14001184,170,SE,England,Borough,none,67.0,74446,27040,18680,2728,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49899,8360,16.75,Con,Lab,54.19,37.44,5.47,2.91,0.00,0.00,0.00,,,,,,0.00,0.00
Crewe and Nantwich,Crewe & Nantwich,E14001185,171,NW,England,County,6.2,65.8,76236,25511,19695,2573,951,1317,0,0,0,0,0,0,0,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50196,5816,11.59,Con,Lab,50.82,39.24,5.13,1.89,2.62,0.00,0.00,,,,,,0.30,0.30
Croydon East,Croydon East,E14001186,172,GL,England,Borough,26.8,67.2,75346,20927,24340,3341,1177,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50622,3413,6.74,Lab,Con,41.34,48.08,6.60,2.33,1.65,0.00,0.00,,,,,,0.00,0.00
Croydon South,Croydon South,E14001187,173,GL,England,Borough,27.2,71.1,71541,27725,14317,6885,1466,59,0,0,0,0,0,0,0,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,,50894,13408,26.34,Con,Lab,54.48,28.13,13.53,2.88,0.12,0.00,0.00,,,,,,0.87,0.87
Croydon West,Croydon West,E14001188,174,GL,England,Borough,62.6,62.8,70812,9561,29651,3097,1205,587,0,0,0,0,0,0,0,348,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44449,20090,45.20,Lab,Con,21.51,66.71,6.97,2.71,1.32,0.00,0.00,,,,,,0.78,0.78
Cumbernauld and Kirkintilloch,Cumbernauld & Kirkintilloch,S14000072,175,SC,Scotland,County,28.1,68.3,70579,7243,13079,2691,115,0,25084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48212,12005,24.90,SNP,Lab,15.02,27.13,5.58,0.24,0.00,52.03,0.00,,,,,,0.00,0.00
Dagenham and Rainham,Dagenham & Rainham,E14001189,176,GL,England,Borough,23.0,59.7,73627,18970,19676,1338,674,2913,0,0,0,0,0,0,0,421,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,209,0,0,0,0,,43992,706,1.60,Lab,Con,43.12,44.73,3.04,1.53,6.62,0.00,0.00,,,,,,0.96,0.48
Darlington,Darlington,E14001190,177,NE,England,County,5.6,65.7,70446,22994,18026,2139,1166,1684,0,0,0,0,0,0,0,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,,46301,4968,10.73,Con,Lab,49.66,38.93,4.62,2.52,3.64,0.00,0.00,,,,,,0.63,0.63
Dartford,Dartford,E14001191,178,SE,England,County,13.2,64.5,72048,28413,13709,3251,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46488,14704,31.63,Con,Lab,61.12,29.49,6.99,2.40,0.00,0.00,0.00,,,,,,0.00,0.00
Daventry,Daventry,E14001192,179,EM,England,County,17.4,74.4,76539,36735,10123,7474,2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56956,26612,46.72,Con,Lab,64.50,17.77,13.12,4.61,0.00,0.00,0.00,,,,,,0.00,0.00
Derby North,Derby North,E14001193,180,EM,England,Borough,none,65.4,71876,21259,18719,3450,1046,1908,0,0,0,0,0,0,0,635,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,,47017,2540,5.40,Con,Lab,45.22,39.81,7.34,2.22,4.06,0.00,0.00,,,,,,1.35,1.35
Derby South,Derby South,E14001194,181,EM,England,Borough,none,58.9,72067,15671,21690,2621,0,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42462,6019,14.18,Lab,Con,36.91,51.08,6.17,0.00,5.84,0.00,0.00,,,,,,0.00,0.00
Derbyshire Dales,Derbyshire Dales,E14001195,182,EM,England,County,19.1,75.5,71435,31820,13023,6880,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53930,18797,34.85,Con,Lab,59.00,24.15,12.76,4.09,0.00,0.00,0.00,,,,,,0.00,0.00
Mid Derbyshire,Derbyshire Mid,E14001362,183,EM,England,County,4.8,73.6,70085,30724,13908,4960,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51582,16816,32.60,Con,Lab,59.56,26.96,9.62,3.86,0.00,0.00,0.00,,,,,,0.00,0.00
North East Derbyshire,Derbyshire North East,E14001391,184,EM,England,County,0.9,68.4,72344,28896,15994,3039,1319,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49479,12902,26.08,Con,Lab,58.40,32.32,6.14,2.67,0.47,0.00,0.00,,,,,,0.00,0.00
South Derbyshire,Derbyshire South,E14001483,185,EM,England,County,11.6,66.3,71202,29319,12836,3465,1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47199,16483,34.92,Con,Lab,62.12,27.20,7.34,3.35,0.00,0.00,0.00,,,,,,0.00,0.00
Central Devon,Devon Central,E14001155,186,SW,England,County,2.8,77.2,73491,31366,14066,8503,2789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56724,17300,30.50,Con,Lab,55.30,24.80,14.99,4.92,0.00,0.00,0.00,,,,,,0.00,0.00
North Devon,Devon North,E14001387,187,SW,England,County,none,72.7,76455,31479,5097,16666,1759,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,,55581,14813,26.65,Con,LD,56.64,9.17,29.99,3.16,0.00,0.00,0.00,,,,,,1.04,1.04
South Devon,Devon South,E14001484,188,SW,England,County,6.3,75.6,71691,29027,9228,15308,82,0,0,0,0,0,0,0,0,544,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,,54189,13719,25.32,Con,LD,53.57,17.03,28.25,0.15,0.00,0.00,0.00,,,,,,1.00,1.00
