PCON24CD,Seat,Region, mean_Con, mean_Lab, mean_LDem, mean_Green, mean_Reform, mean_Plaid, mean_SNP, mean_Other, lo_Con, lo_Lab, lo_LDem, lo_Green, lo_Reform, lo_Plaid, lo_SNP, lo_Other, hi_Con, hi_Lab, hi_LDem, hi_Green, hi_Reform, hi_Plaid, hi_SNP, hi_Other
E14001063,Aldershot,South East,  29.78 ,  33.83 ,  11.52 ,  4.97 ,  17.81 ,  -   ,  -   ,  2.08 ,  23.98 ,  25.77 ,  4.28 ,  0.96 ,  10.03 ,  -   ,  -   ,  0.72 ,  35.76 ,  41.76 ,  23.97 ,  13.42 ,  27.92 ,  -   ,  -   ,  5.10 
E14001064,Aldridge-Brownhills,West Midlands,  34.41 ,  43.27 ,  5.04 ,  2.19 ,  15.10 ,  -   ,  -   ,  -   ,  27.00 ,  35.61 ,  1.52 ,  0.22 ,  8.86 ,  -   ,  -   ,  -   ,  42.29 ,  51.39 ,  10.15 ,  7.13 ,  23.76 ,  -   ,  -   ,  -   
E14001065,Altrincham and Sale West,North West,  26.77 ,  46.92 ,  12.28 ,  1.66 ,  10.97 ,  -   ,  -   ,  1.41 ,  20.77 ,  38.20 ,  5.78 ,  0.28 ,  5.17 ,  -   ,  -   ,  0.33 ,  32.49 ,  55.06 ,  23.93 ,  5.02 ,  18.05 ,  -   ,  -   ,  3.38 
E14001066,Amber Valley,East Midlands,  26.53 ,  45.11 ,  3.44 ,  5.64 ,  19.29 ,  -   ,  -   ,  -   ,  20.50 ,  36.75 ,  1.24 ,  1.45 ,  11.61 ,  -   ,  -   ,  -   ,  34.20 ,  53.86 ,  6.64 ,  14.04 ,  27.42 ,  -   ,  -   ,  -   
E14001067,Arundel and South Downs,South East,  33.48 ,  29.16 ,  16.98 ,  6.76 ,  11.60 ,  -   ,  -   ,  2.01 ,  24.66 ,  20.36 ,  8.47 ,  2.25 ,  4.49 ,  -   ,  -   ,  0.22 ,  42.66 ,  38.72 ,  31.36 ,  12.62 ,  19.38 ,  -   ,  -   ,  7.30 
E14001068,Ashfield,East Midlands,  15.66 ,  29.64 ,  3.44 ,  3.33 ,  31.82 ,  -   ,  -   ,  16.11 ,  11.75 ,  21.28 ,  1.13 ,  0.64 ,  22.45 ,  -   ,  -   ,  6.84 ,  21.81 ,  40.01 ,  6.83 ,  8.07 ,  41.98 ,  -   ,  -   ,  25.96 
E14001069,Ashford,South East,  29.47 ,  37.25 ,  7.86 ,  6.31 ,  17.45 ,  -   ,  -   ,  1.66 ,  23.31 ,  30.71 ,  3.44 ,  2.67 ,  9.54 ,  -   ,  -   ,  0.29 ,  36.53 ,  44.91 ,  15.58 ,  12.23 ,  25.74 ,  -   ,  -   ,  5.32 
E14001070,Ashton-under-Lyne,North West,  15.71 ,  55.53 ,  3.43 ,  3.19 ,  17.27 ,  -   ,  -   ,  4.87 ,  12.25 ,  46.73 ,  0.83 ,  0.85 ,  9.40 ,  -   ,  -   ,  1.25 ,  19.23 ,  63.31 ,  7.91 ,  7.10 ,  27.24 ,  -   ,  -   ,  13.08 
E14001071,Aylesbury,South East,  24.93 ,  28.58 ,  25.89 ,  3.45 ,  15.80 ,  -   ,  -   ,  1.35 ,  19.66 ,  20.41 ,  16.85 ,  0.96 ,  7.94 ,  -   ,  -   ,  0.21 ,  30.10 ,  34.32 ,  38.92 ,  7.84 ,  24.36 ,  -   ,  -   ,  4.23 
E14001072,Banbury,South East,  27.81 ,  31.79 ,  16.88 ,  9.02 ,  13.21 ,  -   ,  -   ,  1.30 ,  22.23 ,  25.18 ,  8.56 ,  3.18 ,  6.22 ,  -   ,  -   ,  0.23 ,  32.45 ,  39.29 ,  28.21 ,  20.39 ,  24.20 ,  -   ,  -   ,  4.21 
E14001073,Barking,London,  12.43 ,  57.52 ,  5.02 ,  4.28 ,  11.89 ,  -   ,  -   ,  8.85 ,  9.35 ,  48.13 ,  1.95 ,  1.36 ,  6.64 ,  -   ,  -   ,  3.33 ,  16.53 ,  67.80 ,  11.69 ,  10.98 ,  18.11 ,  -   ,  -   ,  16.22 
E14001074,Barnsley North,Yorkshire and The Humber,  6.88 ,  51.38 ,  4.70 ,  8.32 ,  25.31 ,  -   ,  -   ,  3.41 ,  4.34 ,  42.06 ,  1.36 ,  2.83 ,  14.94 ,  -   ,  -   ,  0.48 ,  9.98 ,  62.08 ,  10.03 ,  18.36 ,  35.16 ,  -   ,  -   ,  9.80 
E14001075,Barnsley South,Yorkshire and The Humber,  8.30 ,  43.26 ,  10.02 ,  2.58 ,  33.10 ,  -   ,  -   ,  2.73 ,  5.89 ,  34.64 ,  3.77 ,  0.41 ,  21.67 ,  -   ,  -   ,  0.38 ,  10.65 ,  53.67 ,  18.88 ,  6.44 ,  44.81 ,  -   ,  -   ,  6.81 
E14001076,Barrow and Furness,North West,  24.96 ,  52.73 ,  2.08 ,  1.34 ,  17.24 ,  -   ,  -   ,  1.65 ,  18.93 ,  45.85 ,  0.45 ,  0.27 ,  9.31 ,  -   ,  -   ,  0.39 ,  32.16 ,  58.85 ,  5.40 ,  4.02 ,  26.60 ,  -   ,  -   ,  4.15 
E14001077,Basildon and Billericay,East of England,  30.83 ,  33.24 ,  7.10 ,  3.81 ,  20.86 ,  -   ,  -   ,  4.15 ,  23.96 ,  25.54 ,  2.44 ,  0.92 ,  11.41 ,  -   ,  -   ,  1.10 ,  37.55 ,  40.91 ,  15.80 ,  8.97 ,  31.99 ,  -   ,  -   ,  9.27 
E14001078,Basingstoke,South East,  30.29 ,  45.04 ,  7.76 ,  5.12 ,  9.12 ,  -   ,  -   ,  2.67 ,  24.96 ,  36.75 ,  3.91 ,  1.02 ,  4.92 ,  -   ,  -   ,  0.45 ,  35.32 ,  51.96 ,  13.21 ,  11.42 ,  16.22 ,  -   ,  -   ,  6.54 
E14001079,Bassetlaw,East Midlands,  24.08 ,  47.19 ,  5.38 ,  0.01 ,  23.33 ,  -   ,  -   ,  -   ,  17.81 ,  37.98 ,  1.60 ,  -   ,  15.13 ,  -   ,  -   ,  -   ,  29.40 ,  56.62 ,  12.20 ,  0.03 ,  36.13 ,  -   ,  -   ,  -   
E14001080,Bath,South West,  15.77 ,  18.09 ,  52.03 ,  4.81 ,  7.88 ,  -   ,  -   ,  1.42 ,  10.89 ,  11.43 ,  38.33 ,  0.82 ,  3.35 ,  -   ,  -   ,  0.29 ,  20.39 ,  25.73 ,  65.34 ,  14.16 ,  13.28 ,  -   ,  -   ,  4.63 
E14001081,Battersea,London,  27.98 ,  49.24 ,  8.28 ,  2.23 ,  9.31 ,  -   ,  -   ,  2.97 ,  22.73 ,  40.48 ,  3.03 ,  0.49 ,  3.71 ,  -   ,  -   ,  0.51 ,  34.19 ,  58.66 ,  14.85 ,  5.96 ,  16.81 ,  -   ,  -   ,  9.63 
E14001082,Beaconsfield,South East,  40.94 ,  23.39 ,  2.52 ,  2.74 ,  26.62 ,  -   ,  -   ,  3.79 ,  32.99 ,  14.63 ,  0.83 ,  0.59 ,  16.22 ,  -   ,  -   ,  0.85 ,  49.16 ,  31.52 ,  6.88 ,  6.55 ,  42.37 ,  -   ,  -   ,  10.30 
E14001083,Beckenham and Penge,London,  23.70 ,  44.98 ,  13.58 ,  7.69 ,  10.04 ,  -   ,  -   ,  -   ,  18.59 ,  34.50 ,  5.45 ,  2.13 ,  4.73 ,  -   ,  -   ,  -   ,  29.30 ,  55.30 ,  23.97 ,  20.04 ,  16.77 ,  -   ,  -   ,  -   
E14001084,Bedford,East of England,  22.21 ,  49.11 ,  9.07 ,  5.18 ,  10.88 ,  -   ,  -   ,  3.56 ,  17.37 ,  41.31 ,  4.22 ,  1.59 ,  6.06 ,  -   ,  -   ,  0.90 ,  27.85 ,  57.76 ,  15.67 ,  10.78 ,  19.35 ,  -   ,  -   ,  9.21 
