code,name,con,grn,lab,lib,oth,pc,ref,snp
E14001063,Aldershot,31.6,4.5,32.4,11.5,4.2,0,15.7,0
E14001064,Aldridge-Brownhills,31.7,6.4,29.9,6.7,0,0,25.4,0
E14001065,Altrincham and Sale West,26.7,3.8,46.1,7.1,4.9,0,11.4,0
E14001066,Amber Valley,29.3,6.9,35.0,6.6,0,0,22.2,0
E14001067,Arundel and South Downs,25.9,8.8,21.5,17.8,5.4,0,20.6,0
E14001068,Ashfield,20.0,2.0,29.6,8.9,22.4,0,17.1,0
E14001069,Ashford,24.7,7.4,28.4,9.8,5.9,0,23.8,0
E14001070,Ashton-under-Lyne,15.8,5.4,50.5,6.6,2.7,0,19.1,0
E14001071,Aylesbury,23.2,4.5,20.7,27.2,3.6,0,20.8,0
E14001072,Banbury,29.7,4.4,35.3,13.4,3.9,0,13.4,0
E14001073,Barking,11.4,3.7,61.2,3.9,2.0,0,17.8,0
E14001074,Barnsley North,19.2,3.7,45.9,4.9,4.0,0,22.3,0
E14001075,Barnsley South,10.9,4.7,47.9,7.3,2.7,0,26.5,0
E14001076,Barrow and Furness,34.4,1.9,50.4,2.6,0,0,10.7,0
E14001077,Basildon and Billericay,27.6,6.3,27.2,7.8,5.8,0,25.3,0
E14001078,Basingstoke,29.0,4.6,37.7,8.9,5.3,0,14.5,0
E14001079,Bassetlaw,37.8,1.3,41.9,4.0,0,0,14.9,0
E14001080,Bath,15.3,4.6,12.5,55.9,3.0,0,8.7,0
E14001081,Battersea,20.6,3.8,54.2,10.0,2.7,0,8.6,0
E14001082,Beaconsfield,25.4,6.8,17.1,23.0,7.6,0,20.1,0
E14001083,Beckenham and Penge,23.7,4.5,50.6,11.1,0,0,10.2,0
E14001084,Bedford,23.5,3.0,52.7,6.9,3.2,0,10.7,0
E14001085,Bermondsey and Old Southwark,5.2,2.7,52.4,33.4,1.3,0,5.0,0
E14001086,Bethnal Green and Stepney,4.6,5.2,76.0,9.2,1.7,0,3.4,0
E14001087,Beverley and Holderness,26.4,6.8,30.5,9.1,7.0,0,20.1,0
E14001088,Bexhill and Battle,26.5,7.7,26.6,12.6,4.5,0,22.0,0
E14001089,Bexleyheath and Crayford,33.3,3.9,38.5,4.7,0,0,19.6,0
E14001090,Bicester and Woodstock,31.0,6.2,23.2,31.5,0,0,8.1,0
E14001091,Birkenhead,7.3,9.1,65.5,6.4,6.1,0,5.6,0
E14001092,Birmingham Edgbaston,16.1,4.7,57.4,7.2,2.8,0,11.9,0
E14001093,Birmingham Erdington,18.1,4.6,53.1,5.6,3.1,0,15.5,0
E14001094,Birmingham Hall Green and Moseley,6.6,3.1,66.8,9.8,9.0,0,4.7,0
E14001095,Birmingham Hodge Hill and Solihull North,12.1,6.2,60.0,8.6,2.7,0,10.4,0
E14001096,Birmingham Ladywood,5.9,4.7,77.5,9.1,1.2,0,1.6,0
E14001097,Birmingham Northfield,29.9,2.6,53.0,3.5,0.5,0,10.5,0
E14001098,Birmingham Perry Barr,8.9,3.4,68.7,9.9,1.8,0,7.2,0
E14001099,Birmingham Selly Oak,14.0,5.4,58.9,8.3,2.4,0,11.0,0
E14001100,Birmingham Yardley,11.3,3.4,58.2,13.3,1.9,0,11.8,0
E14001101,Bishop Auckland,33.6,2.5,47.2,4.2,0.6,0,12.0,0
E14001102,Blackburn,10.4,3.6,68.6,5.4,2.5,0,9.6,0
E14001103,Blackley and Middleton South,12.3,4.2,60.7,5.8,0,0,17.0,0
E14001104,Blackpool North and Fleetwood,35.3,2.1,47.2,3.4,0.8,0,11.1,0
E14001105,Blackpool South,31.7,2.0,50.4,3.0,0.8,0,12.1,0
E14001106,Blaydon and Consett,20.7,4.1,50.7,5.2,6.5,0,12.9,0
E14001107,Blyth and Ashington,23.7,2.5,56.9,5.3,0,0,11.6,0
E14001108,Bognor Regis and Littlehampton,25.9,6.9,24.2,12.2,6.6,0,24.2,0
E14001109,Bolsover,32.2,2.7,46.7,3.2,0,0,15.2,0
E14001110,Bolton North East,30.0,1.8,52.6,3.0,0,0,12.6,0
E14001111,Bolton South and Walkden,13.5,4.0,57.4,5.6,2.3,0,17.2,0
E14001112,Bolton West,35.7,2.0,46.5,3.7,0,0,12.1,0
E14001113,Bootle,4.1,3.7,81.2,5.6,0.7,0,4.7,0
E14001114,Boston and Skegness,27.2,5.3,19.2,5.0,7.2,0,36.1,0
E14001115,Bournemouth East,33.9,6.3,43.3,8.3,-0.5,0,8.7,0
E14001116,Bournemouth West,34.9,6.1,41.9,8.0,0,0,9.1,0
E14001117,Bracknell,24.1,6.9,30.7,13.3,5.3,0,19.7,0
E14001118,Bradford East,9.6,2.7,64.9,13.4,1.6,0,7.7,0
E14001119,Bradford South,22.7,3.5,50.6,4.6,2.8,0,15.9,0
E14001120,Bradford West,6.8,3.9,78.3,4.3,1.4,0,5.4,0
E14001121,Braintree,27.9,7.8,23.8,8.8,8.7,0,22.9,0
E14001122,Brent East,9.9,5.2,62.7,13.5,1.7,0,7.1,0
E14001123,Brent West,15.1,4.5,57.2,9.3,3.1,0,10.8,0
E14001124,Brentford and Isleworth,12.7,6.1,53.9,16.1,2.2,0,9.1,0
E14001125,Brentwood and Ongar,29.7,6.8,20.7,12.9,6.1,0,23.8,0
E14001126,Bridgwater,25.2,5.2,26.5,16.8,5.9,0,20.4,0
E14001127,Bridlington and The Wolds,28.6,6.4,26.3,7.5,8.0,0,23.3,0
E14001128,Brigg and Immingham,31.3,6.7,27.5,6.6,0,0,28.0,0
E14001129,Brighton Kemptown and Peacehaven,17.5,8.7,62.8,8.0,3.0,0,0,0
E14001130,Brighton Pavilion,8.0,47.1,37.2,4.4,1.9,0,1.3,0
E14001131,Bristol Central,6.3,40.5,39.2,12.1,0.7,0,1.2,0
E14001132,Bristol East,10.9,10.5,64.4,12.2,1.9,0,0,0
E14001133,Bristol North East,21.2,4.9,55.9,5.1,2.9,0,10.1,0
E14001134,Bristol North West,15.3,9.8,50.0,11.3,2.6,0,11.0,0
E14001135,Bristol South,13.9,9.2,52.7,9.6,2.4,0,12.2,0
E14001136,Broadland and Fakenham,27.0,6.0,28.8,16.1,0,0,22.2,0
E14001137,Bromley and Biggin Hill,23.9,6.9,30.7,15.4,4.8,0,18.3,0
E14001138,Bromsgrove,27.5,6.9,27.1,11.9,4.7,0,21.9,0
E14001139,Broxbourne,27.6,6.2,30.0,8.5,4.7,0,23.1,0
E14001140,Broxtowe,24.7,3.7,46.9,5.4,8.1,0,11.2,0
E14001141,Buckingham and Bletchley,28.6,3.9,34.8,9.8,5.2,0,17.8,0
E14001142,Burnley,27.2,3.3,50.2,6.3,2.5,0,10.6,0
E14001143,Burton and Uttoxeter,26.3,6.2,36.6,6.0,4.5,0,20.4,0
E14001144,Bury North,29.8,2.7,54.5,3.3,0.3,0,9.4,0
E14001145,Bury South,28.5,2.5,52.1,4.4,3.0,0,9.6,0
E14001146,Bury St Edmunds and Stowmarket,32.2,9.5,30.3,6.0,6.9,0,15.0,0
E14001147,Calder Valley,26.4,3.1,48.1,5.8,4.9,0,11.7,0
E14001148,Camborne and Redruth,28.0,3.7,41.4,8.6,5.1,0,13.2,0
E14001149,Cambridge,6.5,6.4,47.9,37.7,1.5,0,0,0
E14001150,Cannock Chase,29.2,9.8,31.7,5.7,0,0,23.6,0
E14001151,Canterbury,22.8,4.0,51.7,6.9,3.9,0,10.7,0
E14001152,Carlisle,24.5,4.7,39.7,6.1,6.5,0,18.4,0
E14001153,Carshalton and Wallington,20.4,4.4,13.5,45.3,3.6,0,12.8,0
E14001154,Castle Point,30.6,6.0,22.7,5.8,0,0,34.8,0
E14001155,Central Devon,26.4,6.2,24.2,22.9,4.2,0,16.1,0
E14001156,Central Suffolk and North Ipswich,26.7,9.8,27.8,10.2,4.6,0,21.0,0
E14001157,Chatham and Aylesford,27.5,5.8,29.7,6.2,5.1,0,25.7,0
E14001158,Cheadle,21.8,2.0,13.8,45.9,3.5,0,13.0,0
E14001159,Chelmsford,25.5,3.4,18.7,31.5,5.1,0,15.8,0
E14001160,Chelsea and Fulham,26.6,3.5,39.1,15.5,4.3,0,11.0,0
E14001161,Cheltenham,31.5,4.9,10.5,53.4,-0.3,0,0,0
E14001162,Chesham and Amersham,32.7,7.2,17.8,34.7,-1.2,0,8.7,0
E14001163,Chester North and Neston,17.7,5.5,56.5,7.3,0,0,13.0,0
E14001164,Chester South and Eddisbury,31.8,4.5,33.1,10.9,5.1,0,14.5,0
E14001165,Chesterfield,26.4,2.3,51.6,7.9,0.8,0,10.9,0
E14001166,Chichester,35.5,7.5,18.9,27.2,-0.2,0,11.1,0
E14001167,Chingford and Woodford Green,31.0,4.0,53.7,4.8,0,0,6.5,0
E14001168,Chippenham,34.3,5.1,16.0,36.0,0,0,8.6,0
