code,name,con,grn,lab,lib,oth,pc,ref,snp
E14001063,Aldershot,30.90271429,3.12,36.01,9.71,1.78,0,18.48,0
E14001064,Aldridge-Brownhills,34.74105609,2.22,42.81,4.92,0,0,15.31,0
E14001065,Altrincham and Sale West,27.55025657,1.89,45.11,13.44,1.22,0,10.79,0
E14001066,Amber Valley,27.62594787,5.88,43.30,3.31,0,0,19.88,0
E14001067,Arundel and South Downs,31.16873057,15.39,25.24,15.73,1.51,0,10.97,0
E14001068,Ashfield,16.71481964,3.81,30.22,3.47,14.72,0,31.07,0
E14001069,Ashford,27.85298474,6.65,36.99,7.52,1.31,0,19.67,0
E14001070,Ashton-under-Lyne,14.8852574,4.66,53.69,2.84,5.48,0,18.45,0
E14001071,Aylesbury,24.40915298,3.73,26.30,25.97,0.98,0,18.61,0
E14001072,Banbury,26.71266403,8.92,30.31,17.52,1.06,0,15.47,0
E14001073,Barking,13.18403121,4.57,56.97,5.21,7.36,0,12.70,0
E14001074,Barnsley North,7.62255907,10.04,50.11,4.38,3.00,0,24.84,0
E14001075,Barnsley South,8.723642464,4.61,42.92,10.33,2.62,0,30.78,0
E14001076,Barrow and Furness,25.30439575,1.57,51.87,1.74,1.57,0,17.94,0
E14001077,Basildon and Billericay,30.56737003,3.87,31.89,6.97,2.61,0,24.09,0
E14001078,Basingstoke,30.60555038,5.29,45.07,7.50,1.55,0,9.99,0
E14001079,Bassetlaw,24.74658856,0.01,46.20,4.58,0,0,24.47,0
E14001080,Bath,16.41918253,4.97,16.57,52.66,1.03,0,8.36,0
E14001081,Battersea,26.80546352,2.71,49.57,8.19,2.28,0,10.44,0
E14001082,Beaconsfield,38.83994483,4.28,22.76,4.64,3.49,0,25.98,0
E14001083,Beckenham and Penge,23.03529115,8.35,46.70,12.61,0,0,9.30,0
E14001084,Bedford,21.88461676,4.85,48.34,9.55,3.20,0,12.16,0
E14001085,Bermondsey and Old Southwark,10.99554026,1.00,40.21,36.90,5.43,0,5.46,0
E14001086,Bethnal Green and Stepney,8.032049778,9.25,56.08,8.99,6.19,0,11.45,0
E14001087,Beverley and Holderness,34.66829678,2.67,35.25,11.41,1.01,0,15.00,0
E14001088,Bexhill and Battle,28.53349091,2.92,30.53,15.61,1.26,0,21.14,0
E14001089,Bexleyheath and Crayford,27.60303644,4.97,40.78,4.00,0,0,22.64,0
E14001090,Bicester and Woodstock,26.41953529,4.58,26.13,34.34,1.68,0,6.85,0
E14001091,Birkenhead,7.696273648,16.51,55.17,3.72,3.32,0,13.58,0
E14001092,Birmingham Edgbaston,17.15734902,11.64,48.54,8.27,4.77,0,9.63,0
E14001093,Birmingham Erdington,17.27823353,6.94,55.40,2.20,4.98,0,13.20,0
E14001094,Birmingham Hall Green and Moseley,7.119624929,2.50,54.65,4.82,19.96,0,10.96,0
E14001095,Birmingham Hodge Hill and Solihull North,15.14996018,4.06,54.35,3.66,12.32,0,10.45,0
E14001096,Birmingham Ladywood,7.778989701,7.43,54.01,12.73,9.20,0,8.85,0
E14001097,Birmingham Northfield,22.06195714,9.45,46.31,2.16,2.46,0,17.56,0
E14001098,Birmingham Perry Barr,12.37355543,4.32,55.54,4.90,15.37,0,7.49,0
E14001099,Birmingham Selly Oak,17.12565927,3.64,61.87,4.98,4.15,0,8.24,0
E14001100,Birmingham Yardley,12.93492211,3.95,50.55,6.32,5.06,0,21.19,0
E14001101,Bishop Auckland,24.78705097,2.88,46.93,3.31,2.04,0,20.05,0
E14001102,Blackburn,13.19557486,2.34,60.92,1.68,8.89,0,12.98,0
E14001103,Blackley and Middleton South,13.92631477,6.37,60.71,4.20,0,0,14.80,0
E14001104,Blackpool North and Fleetwood,25.38556,3.84,47.68,3.43,2.69,0,16.97,0
E14001105,Blackpool South,20.50703265,3.86,41.79,2.05,3.17,0,28.62,0
E14001106,Blaydon and Consett,14.65796414,1.74,50.95,7.06,1.79,0,23.81,0
E14001107,Blyth and Ashington,17.36132156,5.75,51.32,2.60,0,0,22.97,0
E14001108,Bognor Regis and Littlehampton,33.4764792,5.67,40.69,6.71,2.12,0,11.33,0
E14001109,Bolsover,19.6816078,2.95,51.62,2.17,0,0,23.58,0
E14001110,Bolton North East,25.78743845,1.76,53.37,3.44,2.14,0,13.51,0
E14001111,Bolton South and Walkden,15.89957503,7.72,51.53,7.38,3.51,0,13.96,0
E14001112,Bolton West,24.58862188,2.97,48.11,2.85,1.77,0,19.72,0
E14001113,Bootle,3.564305769,7.53,70.31,3.89,5.88,0,8.82,0
E14001114,Boston and Skegness,29.02161149,1.87,26.73,4.33,1.85,0,36.20,0
E14001115,Bournemouth East,22.87043136,9.52,37.77,5.47,2.40,0,21.96,0
E14001116,Bournemouth West,23.54269751,6.07,39.71,7.74,1.79,0,21.15,0
E14001117,Bracknell,29.61270349,2.68,36.82,9.37,2.10,0,19.41,0
E14001118,Bradford East,9.498928985,17.65,43.20,10.42,9.03,0,10.19,0
E14001119,Bradford South,15.12170125,4.79,48.81,2.55,9.13,0,19.59,0
E14001120,Bradford West,6.954623489,7.22,57.41,2.40,18.23,0,7.78,0
E14001121,Braintree,35.61024734,1.55,33.65,4.22,1.41,0,23.57,0
E14001122,Brent East,12.9190324,11.07,43.81,17.35,4.71,0,10.13,0
E14001123,Brent West,19.94480598,6.59,49.36,9.68,5.87,0,8.57,0
E14001124,Brentford and Isleworth,16.10078837,4.79,42.40,16.29,7.89,0,12.53,0
E14001125,Brentwood and Ongar,38.12523264,8.49,24.52,9.08,1.08,0,18.70,0
E14001126,Bridgwater,26.55075853,4.74,29.83,22.18,1.86,0,14.84,0
E14001127,Bridlington and The Wolds,33.71097485,6.85,32.84,5.56,1.91,0,19.13,0
E14001128,Brigg and Immingham,31.70363606,6.13,34.31,4.71,0,0,23.15,0
E14001129,Brighton Kemptown and Peacehaven,20.96698129,10.87,60.85,3.89,3.42,0,0,0
E14001130,Brighton Pavilion,12.52339031,42.78,36.52,0.99,1.08,0,6.10,0
E14001131,Bristol Central,11.5521635,29.66,49.63,0.50,1.72,0,6.94,0
E14001132,Bristol East,15.43218836,5.18,71.11,5.45,2.83,0,0,0
E14001133,Bristol North East,19.00011295,9.59,47.07,3.17,2.93,0,18.25,0
E14001134,Bristol North West,19.40443509,8.13,55.36,6.87,1.45,0,8.79,0
E14001135,Bristol South,15.51314669,9.14,56.37,4.52,1.88,0,12.58,0
E14001136,Broadland and Fakenham,35.04778236,6.30,35.40,8.63,0,0,14.61,0
E14001137,Bromley and Biggin Hill,28.68169051,2.97,41.57,7.49,1.68,0,17.61,0
E14001138,Bromsgrove,34.2262876,2.99,38.70,8.31,1.13,0,14.64,0
E14001139,Broxbourne,31.07960903,5.93,30.71,4.24,2.04,0,26.00,0
E14001140,Broxtowe,24.70402452,4.97,45.32,0.23,3.44,0,21.33,0
E14001141,Buckingham and Bletchley,28.69601487,1.28,39.74,7.86,2.03,0,20.40,0
E14001142,Burnley,17.45079647,3.10,40.60,10.27,3.31,0,25.27,0
