pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001076,Barrow and Furness,North West,England,27.71%,21.34%,34.33%,50.64%,43.65%,58.35%,2.62%,1.02%,5.99%,12.76%,6.56%,21.14%,4.82%,2.24%,9.81%,0.53%,0.30%,0.88%,NA,NA,NA,NA,NA,NA, strong lab
E14001077,Basildon and Billericay,Eastern,England,33.37%,25.48%,41.72%,37.80%,29.51%,47.41%,6.07%,2.51%,13.29%,16.55%,8.65%,27.80%,4.44%,1.87%,9.24%,0.59%,0.33%,1.04%,NA,NA,NA,NA,NA,NA, toss up
E14001078,Basingstoke,South East,England,29.94%,23.60%,36.52%,42.74%,33.30%,52.19%,10.02%,4.70%,19.06%,9.62%,4.79%,17.56%,5.74%,2.66%,11.35%,0.65%,0.40%,1.10%,NA,NA,NA,NA,NA,NA, likely lab
E14001079,Bassetlaw,East Midlands,England,30.98%,23.25%,39.55%,37.79%,30.10%,46.22%,4.12%,1.58%,9.12%,21.23%,12.96%,31.01%,4.92%,2.25%,11.18%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean lab
E14001080,Bath,South West,England,12.53%,8.00%,18.37%,17.89%,10.23%,27.72%,54.63%,41.11%,68.03%,8.14%,3.76%,14.80%,5.15%,1.99%,11.35%,0.62%,0.31%,1.17%,NA,NA,NA,NA,NA,NA, strong ld
E14001081,Battersea,London,England,17.57%,13.63%,22.23%,58.06%,49.05%,66.11%,5.05%,1.83%,10.26%,8.90%,4.98%,15.32%,7.64%,3.80%,14.76%,1.77%,1.17%,2.74%,NA,NA,NA,NA,NA,NA, strong lab
E14001082,Beaconsfield,South East,England,33.73%,25.52%,41.94%,20.43%,13.45%,29.31%,24.49%,14.46%,38.63%,14.31%,7.02%,24.35%,4.95%,1.97%,9.79%,0.76%,0.42%,1.31%,NA,NA,NA,NA,NA,NA, likely con
E14001083,Beckenham and Penge,London,England,22.84%,18.19%,28.29%,52.73%,44.83%,60.92%,7.65%,3.62%,13.54%,9.60%,5.24%,15.85%,6.16%,3.13%,11.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001084,Bedford,Eastern,England,21.20%,16.19%,25.93%,53.37%,44.52%,61.81%,5.42%,2.34%,11.11%,10.96%,6.40%,17.86%,6.92%,3.16%,14.07%,1.21%,0.69%,2.09%,NA,NA,NA,NA,NA,NA, strong lab
E14001085,Bermondsey and Old Southwark,London,England,9.40%,6.48%,13.15%,56.94%,45.05%,67.88%,18.00%,9.90%,28.75%,4.67%,2.14%,8.63%,7.84%,3.25%,17.65%,2.04%,1.25%,3.36%,NA,NA,NA,NA,NA,NA, strong lab
E14001086,Bethnal Green and Stepney,London,England,7.35%,5.34%,10.03%,67.70%,57.83%,76.29%,5.87%,3.06%,10.99%,3.36%,1.69%,6.07%,11.69%,6.05%,19.84%,3.28%,2.07%,5.59%,NA,NA,NA,NA,NA,NA, strong lab
E14001087,Beverley and Holderness,Yorkshire and The Humber,England,35.73%,28.72%,42.31%,37.36%,29.52%,46.24%,9.97%,5.54%,17.91%,11.44%,6.10%,18.44%,3.87%,1.64%,8.47%,0.40%,0.22%,0.68%,NA,NA,NA,NA,NA,NA, toss up
E14001088,Bexhill and Battle,South East,England,36.92%,29.74%,43.56%,29.22%,21.64%,37.22%,12.73%,7.29%,21.52%,13.65%,7.85%,21.75%,6.12%,3.00%,11.73%,0.34%,0.19%,0.58%,NA,NA,NA,NA,NA,NA, lean con
E14001089,Bexleyheath and Crayford,London,England,37.16%,30.28%,45.15%,40.68%,32.46%,49.33%,5.49%,2.20%,12.27%,11.63%,5.88%,19.68%,3.64%,1.56%,8.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
