Seat Name,Electorate,CON,LAB,LIB,Reform,Green,"SNP/Plaid",Indept.,Other
Blyth and Ashington,"75,298.000000000",0.115638790,0.533677753,0.028500700,0.266623614,0.055559143,0.000000000,0.000000000,0.000000000
Bognor Regis and Littlehampton,"76,860.000000000",0.282121344,0.359663831,0.071932766,0.217640605,0.046947774,0.000000000,0.000000000,0.021693680
Bolsover,"74,427.000000000",0.158735627,0.457926015,0.022694974,0.327053098,0.033590285,0.000000000,0.000000000,0.000000000
Bolton North East,"77,252.000000000",0.207816022,0.435821523,0.059747106,0.214921496,0.065190816,0.000000000,0.000000000,0.016503037
Bolton South and Walkden,"76,112.000000000",0.154897544,0.398236798,0.018823377,0.243252610,0.140839579,0.000000000,0.000000000,0.043950093
Bolton West,"72,183.000000000",0.205007952,0.512356755,0.035357449,0.195628237,0.032625097,0.000000000,0.000000000,0.019024510
Bootle,"74,832.000000000",0.053129390,0.747531512,0.018540871,0.112531413,0.068266814,0.000000000,0.000000000,0.000000000
Boston and Skegness,"75,021.000000000",0.264899783,0.270010177,0.034887837,0.358922172,0.018981461,0.000000000,0.000000000,0.052298571
Bournemouth East,"74,219.000000000",0.238004761,0.474589719,0.052678832,0.161920073,0.065832881,0.000000000,0.000000000,0.006973734
Bournemouth West,"73,342.000000000",0.245485887,0.454234001,0.062702004,0.161452273,0.068325792,0.000000000,0.000000000,0.007800043
Bracknell,"69,872.000000000",0.322024750,0.426380920,0.059774895,0.154894944,0.034285600,0.000000000,0.000000000,0.002638892
Bradford East,"71,646.000000000",0.133926723,0.513190276,0.048759171,0.110605120,0.069389820,0.000000000,0.000000000,0.124128890
Bradford South,"70,607.000000000",0.131200834,0.516266720,0.027396580,0.224185423,0.069955580,0.000000000,0.000000000,0.030994863
Bradford West,"70,695.000000000",0.105396329,0.636909417,0.025647513,0.084234255,0.083429176,0.000000000,0.000000000,0.064383310
Braintree,"76,023.000000000",0.387688404,0.291544909,0.056501846,0.192017841,0.055482928,0.000000000,0.000000000,0.016764073
Brent East,"74,720.000000000",0.105690689,0.639551986,0.039257835,0.109808802,0.078108383,0.000000000,0.000000000,0.027582306
