PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001092,Birmingham Edgbaston,West Midlands,22.29,53.68,8.18,3.37,7.97,0,0,4.47,17.58,44.05,4.26,1.03,3.68,0,0,1.35,27.18,62.72,13.83,7.21,14.37,0,0,10.95
E14001093,Birmingham Erdington,West Midlands,20.74,59.10,5.42,1.88,10.12,0,0,2.70,16.36,50.67,2.71,0.52,4.88,0,0,0.68,25.83,67.33,9.47,4.40,16.94,0,0,6.64
E14001094,Birmingham Hall Green and Moseley,West Midlands,13.44,63.52,4.70,3.65,10.08,0,0,4.51,9.49,52.79,1.99,0.75,4.78,0,0,1.12,17.90,73.33,8.89,9.05,17.85,0,0,11.99
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,17.27,60.76,5.30,2.04,11.56,0,0,3.00,12.57,50.13,2.23,0.48,5.47,0,0,0.60,22.27,70.12,10.22,5.22,20.78,0,0,7.62
E14001096,Birmingham Ladywood,West Midlands,16.39,63.00,7.71,4.49,4.66,0,0,3.69,11.89,52.20,3.67,1.01,1.83,0,0,0.83,21.57,72.81,13.89,10.98,9.17,0,0,9.04
E14001097,Birmingham Northfield,West Midlands,22.68,52.06,5.45,2.74,14.76,0,0,2.28,17.06,41.50,2.65,0.65,7.45,0,0,0.51,28.78,61.76,9.76,7.08,25.28,0,0,6.01
E14001098,Birmingham Perry Barr,West Midlands,17.91,60.38,6.00,2.32,10.11,0,0,3.20,13.63,50.38,2.70,0.67,4.53,0,0,0.73,23.15,68.77,11.09,5.73,17.95,0,0,8.00
E14001099,Birmingham Selly Oak,West Midlands,18.99,56.08,5.72,7.35,8.72,0,0,3.11,14.73,45.35,2.68,2.84,4.08,0,0,0.82,23.70,66.02,10.12,16.04,15.17,0,0,7.52
E14001100,Birmingham Yardley,West Midlands,16.64,55.05,6.64,5.04,11.17,0,0,5.42,12.07,42.81,2.89,1.67,5.05,0,0,1.55,22.11,65.73,11.68,11.38,20.82,0,0,13.80
E14001101,Bishop Auckland,North East,24.76,46.79,4.19,6.01,16.19,0,0,1.90,18.46,36.03,1.81,1.56,8.23,0,0,0.35,31.35,57.05,7.86,15.13,26.11,0,0,5.48
E14001102,Blackburn,North West,17.72,64.71,3.86,2.63,8.41,0,0,2.62,13.42,55.77,1.51,0.69,3.81,0,0,0.64,22.34,73.14,7.62,6.18,13.84,0,0,6.22
E14001103,Blackley and Middleton South,North West,17.18,61.64,4.52,3.73,9.13,0,0,3.79,12.64,51.55,2.02,0.87,4.07,0,0,0.95,22.26,71.17,7.79,9.41,17.28,0,0,9.21
E14001104,Blackpool North and Fleetwood,North West,25.45,53.57,3.89,2.76,13.26,0,0,1.02,19.09,43.96,1.78,0.61,6.16,0,0,0.17,32.14,62.36,7.38,6.98,22.24,0,0,2.98
E14001105,Blackpool South,North West,21.59,47.00,2.95,2.32,24.23,0,0,1.82,15.15,36.76,1.14,0.50,14.25,0,0,0.30,28.54,56.52,6.08,6.19,36.60,0,0,5.23
E14001106,Blaydon and Consett,North East,18.10,57.83,5.06,2.14,14.65,0,0,2.13,13.68,48.15,2.22,0.51,7.83,0,0,0.44,23.14,66.83,9.09,5.32,23.24,0,0,5.58
E14001107,Blyth and Ashington,North East,17.18,56.83,4.55,2.44,17.03,0,0,1.90,12.43,46.53,2.18,0.58,9.25,0,0,0.37,22.49,66.21,8.43,5.99,27.08,0,0,4.91
E14001108,Bognor Regis and Littlehampton,South East,33.49,34.75,8.90,6.98,13.55,0,0,2.28,26.47,25.24,4.58,2.36,6.17,0,0,0.48,40.72,45.99,14.95,15.53,24.28,0,0,6.59
E14001109,Bolsover,East Midlands,22.23,50.48,4.24,2.74,17.17,0,0,3.09,16.48,40.28,1.81,0.61,8.74,0,0,0.59,28.52,61.54,8.20,7.57,26.79,0,0,8.70
E14001110,Bolton North East,North West,23.91,54.40,6.50,2.89,10.31,0,0,1.95,18.15,45.87,3.13,0.64,4.77,0,0,0.44,30.03,64.00,10.95,7.34,17.09,0,0,5.25
E14001111,Bolton South and Walkden,North West,19.09,58.65,4.38,4.93,10.06,0,0,2.86,14.37,47.77,2.02,1.27,4.49,0,0,0.68,24.43,68.65,8.01,12.74,18.16,0,0,7.30
E14001112,Bolton West,North West,26.19,48.76,5.34,3.22,14.65,0,0,1.81,19.59,39.39,2.45,0.94,6.66,0,0,0.40,32.88,58.13,9.55,7.33,25.12,0,0,4.96
E14001113,Bootle,North West,7.22,75.64,2.91,3.97,7.61,0,0,2.58,4.91,66.33,1.19,1.11,3.34,0,0,0.54,10.08,83.43,5.85,9.39,14.48,0,0,7.07
